Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
XASER,13716.9,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,,,,,,,,,,,,,
DMC,13678.0,Intel Core i5,512 GB,16 GB,Nvidia Geforce GT 740,Yok,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,24 inç,3.00 GHz üstü,75 Hz,,,
XASER,12857.74,Intel Core i5,512 GB,16 GB,AMD Radeon RX 580,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4590,,,,,,,,,,,,,
DMC,20799.0,Intel Core i5,256 GB,32 GB,AMD Radeon RX 580,256 GB,Windows,GDDR5,Harici,Resmi Distribütör Garantili,DDR4,6,Belirtilmemiş,9400F,1920 x 1080,350 - 500 W,Oyun,8 GB,2.9,HDMI,Belirtilmemiş,"24"" / 61 Ekran",,165 Hz,VA,TR,
XASER,12834.62,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4590,,,,,,,,,,,,,
Zeiron,13184.0,,256 GB,,,1 TB,,,,Zeiron TÃ¼rkiye Garantili,,,,,,500 W ve Ã¼stÃ¼,,,,,,"24"" / 61 Ekran",,,VA,,
DMC,6213.0,Intel Core i5,,16 GB,Intel HD Graphics,256 GB,Windows,Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,2400,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.1,VGA - HDMI,Belirtilmemiş,"19"" / 48 Ekran",,75 Hz,TN,,16 GB
Zeiron,8909.01,Intel Core i5,256 GB,16 GB,Intel HD Graphics,500 GB,Windows,Dahili,Dahili,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.2,HDMI,4 kg ve üzeri,24 inç,3.00 GHz üstü,75 Hz,TN,,16 GB
DMC,16499.0,Intel Core i5,256 GB,16 GB,Nvidia GeForce GTX 1650,500 GB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,"24"" / 61 Ekran",,75 Hz,IPS,TR,
jetucuzal,6390.0,Intel Core i5,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,,4,2. Nesil,2400,,,,,,VGA - HDMI,Belirtilmemiş,"19"" / 48 Ekran",,,,,
DMC,12299.0,Intel Core i5,,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,"24"" / 61 Ekran",3.00 GHz üstü,75 Hz,VA,TR,16 GB
Life Teknoloji,5999.99,Intel Core i5,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Windows,DDR3,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,IPS,DE,256 GB
DMC,14899.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 580,500 GB,Windows,GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,İ5-3470,1920 x 1080,500 W ve üstü,Oyun,8 GB,3.2,HDMI,Belirtilmemiş,"24"" / 61 Ekran",3.00 GHz üstü,75 Hz,IPS,,16 GB
Zeiron,25639.0,Intel Core i5,512 GB,32 GB,Nvidia GeForce RTX 3050,512 GB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Zeiron Türkiye Garantili,DDR4,6,12. Nesil,12400F,1920 x 1080,500 W ve üstü,Oyun,8 GB,2.5,Display Port,4 kg ve üzeri,24 inç,2.50 GHz - 3.00 GHz,165 Hz,VA,,64 GB
DMC,7277.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,860,,250 - 350 W,Oyun,4 GB ve altı,2.8,VGA - DVI - HDMI,Belirtilmemiş,,2.50 GHz - 3.00 GHz,,,,
IZOLY,9799.0,,,,,,,,,,DDR3,,,,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,3.2,HDMI,2 - 4 kg,"24"" / 61 Ekran",3.00 GHz üstü,,IPS,,16 GB
DMC,16865.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 560,500 GB,Windows,GDDR5,Harici,Resmi Distribütör Garantili,DDR4,4,Belirtilmemiş,9400F,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,2.5,HDMI,Belirtilmemiş,"24"" / 61 Ekran",2.50 GHz - 3.00 GHz,75 Hz,IPS,,16 GB
TURBOX,10499.0,Intel Core i5,512 GB,16 GB,Nvidia Geforce GT 740,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR4,4,7. Nesil,7400,,250 - 350 W,Oyun,4 GB ve altı,3,,Belirtilmemiş,,3.00 GHz üstü,,,CN,32 GB
IZOLY,3999.0,Intel Core i5,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,1024 x 768,250 - 350 W,Ofis - İş,Paylaşımlı,2.9,HDMI,4 kg ve üzeri,"5 - 5,5 inç",2.50 GHz - 3.00 GHz,,,,16 GB
DMC,12299.0,Intel Core i5,256 GB,16 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,VGA - DVI - HDMI,Belirtilmemiş,"24"" / 61 Ekran",,75 Hz,IPS,,
TURBOX,8909.01,Intel Core i7,256 GB,8 GB,AMD Radeon R7 240,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,DDR3,4,1. Nesil,860,1920 x 1080,250 - 350 W,Oyun,4 GB ve altı,2.8,VGA - DVI - HDMI,Belirtilmemiş,22 - 24 inç,2.50 GHz - 3.00 GHz,75 Hz,,,8 GB
XASER,22543.34,AMD,512 GB,16 GB,Nvidia GeForce RTX 3050,512 GB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Resmi Distribütör Garantili,DDR4,6,5. Nesil,Ryzen 5 5600,,,,,,,,,,,,,
Zeiron,13621.02,Intel Core i5,240 GB,16 GB,AMD Radeon RX 550,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,3.2,HDMI,4 kg ve üzeri,"24"" / 61 Ekran",3.00 GHz üstü,75 Hz,VA,,16 GB
DMC,12399.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,500 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,860,1920 x 1080,250 - 350 W,Oyun,4 GB ve altı,2.8,HDMI,Belirtilmemiş,"24"" / 61 Ekran",2.50 GHz - 3.00 GHz,75 Hz,VA,,
jetucuzal,6499.0,Intel Core i7,256 GB,16 GB,Intel HD Graphics,256 GB,Belirtilmemiş,Dahili,Dahili,İthalatçı Garantili,DDR3,8,3. Nesil,3770,1440 x 900,250 - 350 W,Ofis - İş,Paylaşımlı,3.9,VGA - HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,VA,CN,16 GB
TURBOX,2649.0,Intel Core i3,,,Intel HD Graphics,8 GB,Free Dos (İşletim Sistemi Yok),DDR,,Resmi Distribütör Garantili,DDR3,,2. Nesil,2100,,,Ev - Okul,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
Zeiron,14649.0,Intel Core i5,,,AMD Radeon RX 550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,3.2,HDMI,2 - 4 kg,"24"" / 61 Ekran",3.00 GHz üstü,144 Hz,IPS,,16 GB
IZOLY,3849.0,Intel Core i5,256 GB,8 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1366 x 768,250 - 350 W,Ofis - İş,Paylaşımlı,3.2,Kablo,4 kg ve üzeri,"5,5 - 6 inç",3.00 GHz üstü,,,,16 GB
Zeiron,19999.0,AMD Ryzen 5,1 TB,16 GB,AMD Radeon RX 550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Zeiron Türkiye Garantili,DDR4,6,3. Nesil,3600,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,3.6,HDMI - DP,4 kg ve üzeri,24 inç,3.00 GHz üstü,165 Hz,TN,,32 GB
Zeiron,8349.0,Intel Core i5,,,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,3. Nesil,İ5-3470,,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,2 kg ve altı,,3.00 GHz üstü,,,TR,16 GB
IZOLY,9799.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 580,256 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İzoly Türkiye Garantisi,DDR3,4,4. Nesil,4570,,500 W ve üstü,Oyun,8 GB,3.3,HDMI - DP,4 kg ve üzeri,,3.00 GHz üstü,,,,16 GB
Zeiron,7599.0,Intel Core i5,,,Dahili Ekran Kartı,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,,4,1. Nesil,300U,1366 x 768,250 - 350 W,Ev - Okul,Paylaşımlı,3.2,HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,TN,,8 GB
jetucuzal,4999.0,Intel Core i3,128 GB,8 GB,Dahili Ekran Kartı,128 GB,Belirtilmemiş,Dahili,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2100,1440 x 900,250 - 350 W,Ev - Okul,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,VA,CN,
DMC,14549.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,500 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,2600,1920 x 1080,250 - 350 W,Oyun,4 GB ve altı,3.4,HDMI,Belirtilmemiş,"24"" / 61 Ekran",2.50 GHz - 3.00 GHz,75 Hz,VA,,
DMC,8699.0,Intel Core i5,256 GB,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,2400,1600 x 900,250 - 350 W,Oyun,4 GB ve altı,3.1,VGA - HDMI,Belirtilmemiş,"19"" / 48 Ekran",3.00 GHz üstü,75 Hz,TN,,
Life Teknoloji,6599.99,Intel Core i5,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,3,VGA - HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,IPS,AU,16 GB
DMC,8599.0,Intel Core i5,256 GB,16 GB,AMD Radeon R7 240,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,2400,1440 x 900,250 - 350 W,Oyun,4 GB ve altı,3.1,VGA - HDMI,Belirtilmemiş,"19"" / 48 Ekran",3.00 GHz üstü,,,TR,16 GB
Zeiron,8499.0,Intel Core i5,,,Intel HD Graphics,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,1366 x 768,250 - 350 W,Ev - Okul,Paylaşımlı,3.2,VGA,4 kg ve üzeri,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,TN,,16 GB
DMC,7599.0,Intel Core i5,256 GB,16 GB,AMD Radeon R7 240,256 GB,Windows,GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,İ5-3470,,350 - 500 W,Oyun,4 GB ve altı,3.2,Kablo,2 kg ve altı,,3.00 GHz üstü,,,TR,16 GB
Zeiron,10020.0,Intel Core i5,240 GB,16 GB,Nvidia GeForce GT 730,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1366 x 768,350 - 500 W,Oyun,4 GB ve altı,3.2,VGA,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,TN,,16 GB
Zeiron,22699.0,AMD Ryzen 5,1 TB,16 GB,Nvidia GeForce GTX 1650,500 GB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Zeiron Türkiye Garantili,DDR4,6,3. Nesil,3600,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,3.6,HDMI - DP,4 kg ve üzeri,24 inç,3.00 GHz üstü,165 Hz,VA,,64 GB
jetucuzal,3499.0,Intel Core i3,128 GB,16 GB,Dahili Ekran Kartı,128 GB,Belirtilmemiş,Dahili,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2100,,250 - 350 W,Ofis - İş,,3.1,VGA - HDMI,2 - 4 kg,,3.00 GHz üstü,,,CN,16 GB
Super,7999.0,Intel Core i5,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Belirtilmemiş,Dahili,Dahili,İthalatçı Garantili,DDR3,4,3. Nesil,3470,1920 x 1080,250 - 350 W,,Paylaşımlı,3.2,VGA - HDMI,2 - 4 kg,24 inç,3.00 GHz üstü,75 Hz,IPS,CN,16 GB
Zeiron,9199.0,Intel Core i5,SSD Yok,16 GB,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,350 - 500 W,Ofis - İş,Paylaşımlı,3.2,Wi-Fi,2 - 4 kg,"24"" / 61 Ekran",3.00 GHz üstü,75 Hz,IPS,,16 GB
TURBOX,3799.0,Intel Core i5,256 GB,16 GB,Intel Iris Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,,,,Paylaşımlı,3.2,HDMI,2 - 4 kg,,3.00 GHz üstü,,,,16 GB
IZOLY,14669.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 580,256 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İzoly Türkiye Garantisi,DDR3,4,4. Nesil,4570,1920 x 1080,500 W ve üstü,Oyun,8 GB,3.3,HDMI,4 kg ve üzeri,24 inç,2.50 GHz - 3.00 GHz,90 Hz,,,16 GB
Zeiron,7299.0,Intel Core i5,256 GB,8 GB,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,1366 x 768,250 - 350 W,Ev - Okul,Paylaşımlı,3.2,HDMI,4 kg ve üzeri,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,TN,,16 GB
Zeiron,11749.0,Intel Core i7,,,Nvidia GeForce GT 730,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,1. Nesil,860,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,2.8,HDMI,2 - 4 kg,23.8 inç,3.00 GHz üstü,75 Hz,TN,,16 GB
RAMTECH,17499.0,Intel Core i5,1 TB,32 GB,AMD Radeon R5 230,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400F,1920 x 1080,250 - 350 W,Ofis - İş,4 GB ve altı,2.5,,Belirtilmemiş,24 inç,2.50 GHz - 3.00 GHz,75 Hz,,,64 GB
RAMTECH,19345.0,Intel Core i3,,,Nvidia GeForce RTX 3050,Yok,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Resmi Distribütör Garantili,,4,10. Nesil,10100F,,500 W ve üstü,Oyun,8 GB,3.6,VGA - HDMI,4 kg ve üzeri,,3.00 GHz üstü,,,,32 GB
jetucuzal,7130.0,Intel Core i3,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2100,1920 x 1080,250 - 350 W,,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,VA,,16 GB
Zeiron,7157.0,Intel Core i5,,,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,1. Nesil,650,1366 x 768,350 - 500 W,Ofis - İş,Paylaşımlı,3.2,HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,TN,,8 GB
jetucuzal,2899.0,Intel Core i3,128 GB,8 GB,Intel HD Graphics,128 GB,Belirtilmemiş,Dahili,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2100,,250 - 350 W,,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,,3.00 GHz üstü,,,CN,
Zeiron,57999.0,AMD Ryzen 9,1 TB,32 GB,Nvidia GeForce RTX 3050,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Zeiron Türkiye Garantili,DDR4,12+,5. Nesil,5900X,1920 x 1080,500 W ve üstü,Oyun,8 GB,3.7,Display Port,4 kg ve üzeri,27 inç,3.00 GHz üstü,165 Hz,VA,,64 GB
Gamepage,23699.0,Intel Core i5,,,Nvidia GeForce GTX 1650,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Resmi Distribütör Garantili,DDR4,6,10. Nesil,10400F,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,2.9,Wi-Fi,4 kg ve üzeri,24 inç,3.00 GHz üstü,165 Hz,IPS,,32 GB
Apple,25739.01,M2,,,Dahili Ekran Kartı,Yok,Mac Os,Belirtilmemiş,Dahili,Apple Türkiye Garantili,,2,Belirtilmemiş,Belirtilmemiş,,,Ofis - İş,,,,Belirtilmemiş,,,,,,
DMC,4396.0,Intel Core i5,256 GB,16 GB,Intel UHD Graphics 600,256 GB,Windows,Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,2400,,250 - 350 W,Oyun,Paylaşımlı,3.1,VGA - HDMI,Belirtilmemiş,,3.00 GHz üstü,,,,16 GB
Zeiron,4549.0,Intel Core i5,,,Dahili Ekran Kartı,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,,4,1. Nesil,300U,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,3,HDMI,2 - 4 kg,,3.00 GHz üstü,,,,8 GB
Zeiron,23499.0,AMD Ryzen 5,1 TB,16 GB,Nvidia GeForce GTX 1660 SUPER,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Zeiron Türkiye Garantili,DDR4,6,3. Nesil,3600,1920 x 1080,500 W ve üstü,Oyun,6 GB,3.6,HDMI - DP,4 kg ve üzeri,24 inç,3.00 GHz üstü,165 Hz,TN,,32 GB
GAMELİNE,7699.0,Intel Core i5,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,2400,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,3.2,HDMI,4 kg ve üzeri,"24"" / 61 Ekran",3.00 GHz üstü,75 Hz,TN,,16 GB
MSI,89122.48,AMD Ryzen 5,1 TB,32 GB,Nvidia GeForce RTX 4070Ti SUPER,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İthalatçı Garantili,DDR5,12+,5. Nesil,7600X,,500 W ve üstü,,16 GB,,,,,3.00 GHz üstü,,,TR,
Apple,44999.0,Apple M1,,,Dahili Ekran Kartı,Yok,Mac Os,Belirtilmemiş,,Resmi Distribütör Garantili,,,,Belirtilmemiş,,,,,,Bluetooth,Belirtilmemiş,,,,,,256 GB
IZOLY,7199.0,Intel Core i5,256 GB,8 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.2,HDMI,4 kg ve üzeri,22 inç,3.00 GHz üstü,75 Hz,VA,,16 GB
METSA,24099.0,AMD Ryzen 5,500 GB,16 GB,Nvidia GeForce RTX3060,500 GB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Resmi Distribütör Garantili,DDR4,6,Belirtilmemiş,5500U,4096 x 2160,500 W ve üstü,Oyun,12 GB,3.6,HDMI,4 kg ve üzeri,,3.00 GHz üstü,,,,32 GB
DMC,11689.0,Intel Core i5,256 GB,16 GB,AMD Radeon R7 240,256 GB,Windows,GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,İ5-3470,,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,24 inç,,75 Hz,VA,TR,
PCDEPO,15999.0,Intel Core i5,256 GB,8 GB,Intel HD Graphics,256 GB,Windows,Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400,1920 x 1080,350 - 500 W,Ofis - İş,,2.5,HDMI,2 - 4 kg,,3.00 GHz üstü,,VA,,64 GB
Quantum Gaming,33493.07,Intel Core i5,512 GB,16 GB,Nvidia GeForce RTX 4060Ti,Belirtilmemiş,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Harici,Technopc Türkiye Garantili,Belirtilmemiş,Belirtilmemiş,11. Nesil,12400,,,,,,,,,,,,TR,
Zeiron,7749.0,Intel Core i5,,,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,DD2,4,1. Nesil,300U,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,,HDMI,2 - 4 kg,22 inç,3.00 GHz üstü,,TN,,8 GB
XASER,23076.06,Intel Core i5,512 GB,32 GB,Nvidia GeForce RTX 3050,512 GB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400F,,,,,,,,,,,,,
Zeiron,15730.0,Intel Core i5,,,Nvidia GeForce GTX1050 Ti,320 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Zeiron Türkiye Garantili,,4,3. Nesil,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,4 kg ve üzeri,24 inç,3.00 GHz üstü,144 Hz,VA,,16 GB
DMC,9699.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,860,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,2.8,VGA - HDMI,Belirtilmemiş,"21,5 inç",3.00 GHz üstü,75 Hz,VA,,16 GB
IZOLY,8919.0,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İzoly Türkiye Garantisi,DDR3,4,4. Nesil,4440,,500 W ve üstü,Oyun,4 GB ve altı,3.3,DVI - HDMI - DP,4 kg ve üzeri,,3.00 GHz üstü,,,,16 GB
Canar,4899.0,Intel Pentium,,,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,İthalatçı Garantili,,4,Belirtilmemiş,Belirtilmemiş,1366 x 768,,,,,USB,2 - 4 kg,,,,,,4 GB
MSI,67581.82,AMD Ryzen 7,1 TB,32 GB,Nvidia GeForce RTX 4060Ti,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İthalatçı Garantili,DDR5,12+,7. Nesil,7800X,,500 W ve üstü,,16 GB,,,,,3.00 GHz üstü,,,TR,
Gigabyte,53700.07,AMD Ryzen 5,1 TB,32 GB,Nvidia GeForce RTX 4070,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,İthalatçı Garantili,DDR5,6,7. Nesil,7500U,,500 W ve üstü,Oyun,12 GB,,,Belirtilmemiş,,,,,,128 GB
Zeiron,15749.0,AMD Ryzen 5,,,Nvidia GeForce GTX1050 Ti,500 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Zeiron Türkiye Garantili,DDR4,6,5. Nesil,5500U,,500 W ve üstü,Oyun,4 GB ve altı,3.6,HDMI,2 - 4 kg,,3.00 GHz üstü,,,,64 GB
XASER,6389.15,Intel Core i7,512 GB,16 GB,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3770,,,,,,,,,,,,,
TURBOX,9475.0,Intel Core i5,512 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,9. Nesil,9400,1920 x 1080,180 - 250 W,Ofis - İş,,2.9,USB,2 kg ve altı,,2.50 GHz - 3.00 GHz,,,,32 GB
TURBOX,8875.0,Intel Core i5,1 TB,16 GB,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
IZOLY,25565.96,Intel Core i5,512 GB,16 GB,Nvidia GeForce GTX 1660 SUPER,512 GB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,İzoly Türkiye Garantisi,DDR4,6,10. Nesil,10400F,1920 x 1080,500 W ve üstü,Oyun,6 GB,2.9,HDMI - DP,,24 inç,2.50 GHz - 3.00 GHz,90 Hz,TN,,32 GB
